text,label,number_ratio,special_char_ratio,spam_words,text_length,word_count
"go until jurong point, crazy  available only in bugis n great world la e buffet  cine there got amore wat",0,0.0,0.009523809523809525,0,105,20
ok lar  joking wif u oni,0,0.0,0.0,0,24,6
free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005. text fa to 87121 to receive entry question std txt rate t c's apply 08452810075over18's,1,0.16129032258064516,0.01935483870967742,2,155,31
u dun say so early hor  u c already then say,0,0.0,0.0,0,44,11
"nah i don't think he goes to usf, he lives around here though",0,0.0,0.03278688524590164,0,61,13
"freemsg hey there darling it's been 3 week's now and no word back! i'd like some fun you up for it still? tb ok! xxx std chgs to send, 1.50 to rcv",1,0.0273972602739726,0.0547945205479452,2,146,32
even my brother is not like to speak with me. they treat me like aids patent.,0,0.0,0.025974025974025976,0,77,16
as per your request 'melle melle oru minnaminunginte nurungu vettam ' has been set as your callertune for all callers. press 9 to copy your friends callertune,0,0.006329113924050633,0.0189873417721519,0,158,27
winner!! as a valued network customer you have been selected to receivea 900 prize reward! to claim call 09061701461. claim code kl341. valid 12 hours only.,1,0.12179487179487179,0.038461538461538464,2,156,26
had your mobile 11 months or more? u r entitled to update to the latest colour mobiles with camera for free! call the mobile update co free on 08002986030,1,0.08441558441558442,0.012987012987012988,1,154,29
"i'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? i've cried enough today.",0,0.0,0.05504587155963303,0,109,21
"six chances to win cash! from 100 to 20,000 pounds txt csh11 and send to 87575. cost 150p day, 6days, 16 tsandcs apply reply hl 4 info",1,0.16417910447761194,0.03731343283582089,2,134,27
"urgent! you have won a 1 week free membership in our 100,000 prize jackpot! txt the word claim to no 81010 t c lccltd pobox 4403ldnw1a7rw18",1,0.14388489208633093,0.02158273381294964,3,139,26
i've been searching for the right words to thank you for this breather. i promise i wont take your help for granted and will fulfil my promise. you have been wonderful and a blessing at all times.,0,0.0,0.02040816326530612,0,196,37
i have a date on sunday with will!!,0,0.0,0.05714285714285714,0,35,8
"xxxmobilemovieclub to use your credit, click the wap link in the next txt message or click here xxxmobilemovieclub.com?n qjkgighjjgcbl",1,0.0,0.022388059701492536,1,134,19
oh k i'm watching here,0,0.0,0.045454545454545456,0,22,5
eh u remember how 2 spell his name  yes i did. he v naughty make until i v wet.,0,0.012658227848101266,0.02531645569620253,0,79,19
fine if that s the way u feel. that s the way its gota b,0,0.0,0.017857142857142856,0,56,15
"england v macedonia - dont miss the goals team news. txt ur national team to 87077 eg england to 87077 try wales, scotland 4txt 1.20 poboxox36504w45wq 16",1,0.1503267973856209,0.026143790849673203,0,153,27
is that seriously how you spell his name?,0,0.0,0.024390243902439025,0,41,8
i m going to try for 2 months ha ha only joking,0,0.02127659574468085,0.0,0,47,12
so pay first lar  then when is da stock comin,0,0.0,0.0,0,45,10
aft i finish my lunch then i go str down lor. ard 3 smth lor. u finish ur lunch already?,0,0.011363636363636364,0.03409090909090909,0,88,20
ffffffffff. alright no way i can meet up with you sooner?,0,0.0,0.03508771929824561,0,57,11
just forced myself to eat a slice. i'm really not hungry tho. this sucks. mark is getting worried. he knows i'm sick when i turn down pizza. lol,0,0.0,0.04861111111111111,1,144,28
lol your always so convincing.,0,0.0,0.03333333333333333,0,30,5
did you catch the bus ? are you frying an egg ? did you make a tea? are you eating your mom's left over dinner ? do you feel my love ?,0,0.0,0.04477611940298507,0,134,32
"i'm back amp we're packing the car now, i'll let you know if there's room",0,0.0,0.0684931506849315,1,73,15
ahhh. work. i vaguely remember that! what does it feel like? lol,0,0.0,0.0625,0,64,12
"wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,0.0,0.03076923076923077,0,130,26
yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. till 2! but we won't go there! not doing too badly cheers. you?,0,0.010638297872340425,0.03723404255319149,0,188,41
k tell me anything about you.,0,0.0,0.034482758620689655,0,29,6
for fear of fainting with the of all that housework you just did? quick have a cuppa,0,0.0,0.011904761904761904,0,84,17
thanks for your subscription to ringtone uk your mobile will be charged 5 month please confirm by replying yes or no. if you reply no you will not be charged,1,0.006369426751592357,0.006369426751592357,0,157,30
yup  ok i go home look at the timings then i msg again  xuhui going to learn on 2nd may too but her lesson is at 8am,0,0.017241379310344827,0.0,0,116,27
"oops, i'll let you know when my roommate's done",0,0.0,0.06382978723404255,1,47,9
i see the letter b on my car,0,0.0,0.0,0,28,8
anything lor  u decide,0,0.0,0.0,0,22,4
hello! how's you and how did saturday go? i was just texting to see if you'd decided to do anything tomo. not that i'm trying to invite myself or anything!,0,0.0,0.04516129032258064,0,155,30
pls go ahead with watts. i just wanted to be sure. do have a great weekend. abiola,0,0.0,0.036585365853658534,0,82,17
"did i forget to tell you ? i want you , i need you, i crave you   but most of all   i love you my sweet arabian steed   mmmmmm   yummy",0,0.0,0.022388059701492536,0,134,30
07732584351 - rodger burns - msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder. please call now 08000930705 for delivery tomorrow,1,0.13095238095238096,0.017857142857142856,2,168,31
who are you seeing?,0,0.0,0.05263157894736842,0,19,4
great! i hope you like your man well endowed. i am lt gt inches,0,0.0,0.031746031746031744,0,63,14
no calls messages missed calls,0,0.0,0.0,0,30,5
didn't you get hep b immunisation in nigeria.,0,0.0,0.044444444444444446,0,45,8
"fair enough, anything going on?",0,0.0,0.06451612903225806,0,31,5
"yeah hopefully, if tyler can't do it i could maybe ask around a bit",0,0.0,0.029850746268656716,0,67,14
u don't know how stubborn i am. i didn't even want to go to the hospital. i kept telling mark i'm not a weak sucker. hospitals are for weak suckers.,0,0.0,0.0472972972972973,1,148,30
what you thinked about me. first time you saw me in class.,0,0.0,0.034482758620689655,0,58,12
"a gram usually runs like lt gt , a half eighth is smarter though and gets you almost a whole second gram for lt gt",0,0.0,0.008771929824561403,0,114,25
k fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,0.0,0.0125,0,80,16
"wow. i never realized that you were so embarassed by your accomodations. i thought you liked it, since i was doing the best i could and you always seemed so happy about the cave . i'm sorry i didn't and don't have more to give. i'm sorry i offered. i'm sorry your room was so embarassing.",0,0.0,0.041666666666666664,1,288,56
sms. ac sptv the new jersey devils and the detroit red wings play ice hockey. correct or incorrect? end? reply end sptv,1,0.0,0.03361344537815126,1,119,22
do you know what mallika sherawat did yesterday? find out now lt url gt,0,0.0,0.014084507042253521,1,71,14
"congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! c suprman v, matrix3, starwars3, etc all 4 free! bx420-ip4-5we. 150pm. dont miss out!",1,0.15,0.075,2,160,27
"sorry, i'll call later in meeting.",0,0.0,0.08823529411764706,0,34,6
tell where you reached,0,0.0,0.0,0,22,4
yes gauti and sehwag out of odi series.,0,0.0,0.02564102564102564,0,39,8
your gonna have to pick up a 1 burger for yourself on your way home. i can't even move. pain is killing me.,0,0.009345794392523364,0.037383177570093455,0,107,23
ha ha ha good joke. girls are situation seekers.,0,0.0,0.041666666666666664,0,48,9
its a part of checking iq,0,0.0,0.0,0,25,6
"sorry my roommates took forever, it ok if i come by now?",0,0.0,0.03571428571428571,1,56,12
ok lar i double check wif da hair dresser already he said wun cut v short. he said will cut until i look nice.,0,0.0,0.01818181818181818,0,110,24
"as a valued customer, i am pleased to advise you that following recent review of your mob no. you are awarded with a 1500 bonus prize, call 09066364589",1,0.09933774834437085,0.019867549668874173,2,151,28
today is song dedicated day  which song will u dedicate for me? send this to all ur valuable frnds but first rply me,0,0.0,0.008620689655172414,0,116,23
"urgent ur awarded a complimentary trip to eurodisinc trav, aco entry41 or 1000. to claim txt dis to 87121 18 6 1.50 morefrmmob. shracomorsglsuplt 10, ls1 3aj",1,0.1337579617834395,0.03184713375796178,1,157,27
did you hear about the new divorce barbie ? it comes with all of ken's stuff!,1,0.0,0.03896103896103896,0,77,16
i plane to give on this month end.,0,0.0,0.029411764705882353,0,34,8
wah lucky man  then can save money  hee,0,0.0,0.0,1,39,8
finished class where are you.,0,0.0,0.034482758620689655,0,29,5
hi babe im at home now wanna do something? xx,0,0.0,0.022222222222222223,1,45,10
k k where are you?how did you performed?,0,0.0,0.05,0,40,8
u can call me now,0,0.0,0.0,1,17,5
i am waiting machan. call me once you free.,0,0.0,0.046511627906976744,1,43,9
thats cool. i am a gentleman and will treat you with dignity and respect.,0,0.0,0.0273972602739726,0,73,14
i like you peoples very much but am very shy pa.,0,0.0,0.020833333333333332,0,48,11
does not operate after lt gt or what,0,0.0,0.0,0,36,8
its not the same here. still looking for a job. how much do ta's earn there.,0,0.0,0.05263157894736842,0,76,16
"sorry, i'll call later",0,0.0,0.09090909090909091,0,22,4
k. did you call me just now ah?,0,0.0,0.06451612903225806,1,31,8
ok i am on the way to home hi hi,0,0.0,0.0,0,32,10
you will be in the place of that man,0,0.0,0.0,0,36,9
yup next stop.,0,0.0,0.07142857142857142,0,14,3
"i call you later, don't have network. if urgnt, sms me.",0,0.0,0.09090909090909091,0,55,11
for real when u getting on yo? i only need 2 more tickets and one more jacket and i'm done. i already used all my multis.,0,0.008264462809917356,0.03305785123966942,0,121,26
yes i started to send requests to make it but pain came back so i'm back in bed. double coins at the factory too. i gotta cash in all my nitros.,0,0.0,0.027777777777777776,1,144,31
i'm really not up to it still tonight babe,0,0.0,0.023809523809523808,0,42,9
"ela kano.,il download, come wen ur free",0,0.0,0.07692307692307693,1,39,7
yeah do! don t stand to close tho- you ll catch something!,0,0.0,0.05172413793103448,0,58,12
sorry to be a pain. is it ok if we meet another night? i spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. sorry.,0,0.010309278350515464,0.02577319587628866,0,194,39
smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling!!,0,0.0070921985815602835,0.014184397163120567,0,141,26
please call our customer service representative on 0800 169 6031 between 10am-9pm as you have won a guaranteed 1000 cash or 5000 prize!,1,0.16296296296296298,0.014814814814814815,3,135,23
havent planning to buy later. i check already lido only got 530 show in e afternoon. u finish work already?,0,0.028037383177570093,0.028037383177570093,0,107,20
"your free ringtone is waiting to be collected. simply text the password mix to 85069 to verify. get usher and britney. fml, po box 5249, mk17 92h. 450ppw 16",1,0.11538461538461539,0.038461538461538464,2,156,29
watching telugu movie wat abt u?,0,0.0,0.03125,0,32,6
i see. when we finish we have loads of loans to pay,0,0.0,0.0196078431372549,0,51,12
hi. wk been ok - on hols now! yes on for a bit of a run. forgot that i have hairdressers appointment at four so need to get home n shower beforehand. does that cause prob for u?,0,0.0,0.03389830508474576,1,177,38
i see a cup of coffee animation,0,0.0,0.0,0,31,7
please don't text me anymore. i have nothing else to say.,0,0.0,0.05263157894736842,0,57,11
okay name ur price as long as its legal! wen can i pick them up? y u ave x ams xx,0,0.0,0.024691358024691357,0,81,21
i'm still looking for a car to buy. and have not gone 4the driving test yet.,0,0.013157894736842105,0.039473684210526314,0,76,16
"wow. you're right! i didn't mean to do that. i guess once i gave up on boston men and changed my search location to nyc, something changed. cuz on my signin page it still says boston.",0,0.0,0.04371584699453552,0,183,36
umma my life and vava umma love you lot dear,0,0.0,0.0,0,44,10
thanks a lot for your wishes on my birthday. thanks you for making my birthday truly memorable.,0,0.0,0.021052631578947368,0,95,17
"aight, i'll hit you up when i get some cash",0,0.0,0.046511627906976744,1,43,10
how would my ip address test that considering my computer isn't a minecraft server,0,0.0,0.012195121951219513,0,82,14
i know! grumpy old people. my mom was like you better not be lying. then again i am always the one to play jokes,0,0.0,0.026785714285714284,1,112,24
dont worry. i guess he's busy.,0,0.0,0.1,0,30,6
what is the plural of the noun research?,0,0.0,0.025,0,40,8
going for dinner.msg you after.,0,0.0,0.06451612903225806,0,31,5
i'm ok wif it cos i like 2 try new things. but i scared u dun like mah. cos u said not too loud.,0,0.010416666666666666,0.041666666666666664,0,96,24
gent! we are trying to contact you. last weekends draw shows that you won a 1000 prize guaranteed. call 09064012160. claim code k52. valid 12hrs only. 150ppm,1,0.14012738853503184,0.03821656050955414,2,157,27
"wa, ur openin sentence very formal  anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight haha  so anythin special happened?",0,0.0,0.043795620437956206,0,137,25
"as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there.",0,0.00641025641025641,0.08333333333333333,0,156,32
